pool_key,aes_ranked_teams,local_ranked_teams,matched_teams,unmatched_teams,coverage_rate,spearman_rank_corr,mean_abs_rank_diff,top5_overlap_count,top10_overlap_count
B14,261,21,12,249,0.04597701149425287,0.7272727272727274,141.25,0,0
B15,208,27,22,186,0.10576923076923077,0.6589497459062676,103.5909090909091,0,0
B16,406,46,35,371,0.08620689655172414,0.8369747899159664,208.31428571428572,0,1
B17,327,51,40,287,0.12232415902140673,0.7103189493433397,149.05,0,0
B18,537,63,48,489,0.0893854748603352,0.8116587060356057,256.1875,0,0
G12,2541,49,23,2518,0.00905155450609996,0.8142292490118577,1761.304347826087,0,0
G13,3073,95,54,3019,0.01757240481614058,0.668839336763865,1738.037037037037,0,0
G14,4528,162,78,4450,0.017226148409893994,0.6649763525152957,2389.0128205128203,0,0
G15,3851,197,115,3736,0.029862373409504026,0.6585812356979405,2078.3565217391306,0,0
G16,3765,228,140,3625,0.03718459495351926,0.7800721175416468,1996.4214285714286,0,0
G17,2388,158,108,2280,0.04522613065326633,0.7269522802404565,1290.9074074074074,0,0
G18,1876,128,88,1788,0.046908315565031986,0.7841868205969627,1101.9204545454545,0,0
