pool_key,system,matches,picks_made,correct_picks,accuracy
G12,Local,46,46,40,0.8695652173913043
G12,USAV National,46,9,6,0.6666666666666666
G12,USAV Regional,46,9,5,0.5555555555555556
G13,Local,98,98,87,0.8877551020408163
G13,USAV National,98,37,21,0.5675675675675675
G13,USAV Regional,98,28,14,0.5
G14,Local,177,177,144,0.8135593220338984
G14,USAV National,177,43,35,0.813953488372093
G14,USAV Regional,177,36,27,0.75
G15,Local,227,227,183,0.8061674008810573
G15,USAV National,227,75,48,0.64
G15,USAV Regional,227,64,42,0.65625
G16,Local,227,227,192,0.8458149779735683
G16,USAV National,227,97,61,0.6288659793814433
G16,USAV Regional,227,94,55,0.5851063829787234
G17,Local,132,132,110,0.8333333333333334
G17,USAV National,132,65,38,0.5846153846153846
G17,USAV Regional,132,65,44,0.676923076923077
G18,Local,114,114,97,0.8508771929824561
G18,USAV National,114,63,38,0.6031746031746031
G18,USAV Regional,114,50,32,0.64
