scope,pool_key,system,matches_total,picks_made,correct_picks,accuracy_pct
overall,ALL,Local,1021,1021,853,83.54554358472086
overall,ALL,USAV National,1021,389,247,63.49614395886889
overall,ALL,USAV Regional,1021,346,219,63.29479768786127
division,G12,Local,46,46,40,86.95652173913044
division,G12,USAV National,46,9,6,66.66666666666666
division,G12,USAV Regional,46,9,5,55.55555555555556
division,G13,Local,98,98,87,88.77551020408163
division,G13,USAV National,98,37,21,56.75675675675676
division,G13,USAV Regional,98,28,14,50.0
division,G14,Local,177,177,144,81.35593220338984
division,G14,USAV National,177,43,35,81.3953488372093
division,G14,USAV Regional,177,36,27,75.0
division,G15,Local,227,227,183,80.61674008810573
division,G15,USAV National,227,75,48,64.0
division,G15,USAV Regional,227,64,42,65.625
division,G16,Local,227,227,192,84.58149779735683
division,G16,USAV National,227,97,61,62.88659793814433
division,G16,USAV Regional,227,94,55,58.51063829787234
division,G17,Local,132,132,110,83.33333333333334
division,G17,USAV National,132,65,38,58.46153846153847
division,G17,USAV Regional,132,65,44,67.6923076923077
division,G18,Local,114,114,97,85.08771929824562
division,G18,USAV National,114,63,38,60.317460317460316
division,G18,USAV Regional,114,50,32,64.0
